id,"code","name"
348,"UWUU","Ufa"
349,"UWWW","Samara"
350,"VABF","Mumbai"
351,"VABX","Mumbai Oceanic"
352,"VCCC","Colombo"
353,"VDPP","Phnom Penh"
354,"VECF","Calcutta"
355,"VECX","Calcutta Oceanic"
356,"VEGF","Guwahati"
357,"VGHR","Dhaka"
358,"VHHK","Hong Kong"
359,"VIDF","Delhi"
360,"VLVT","Vientiane"
361,"VNSM","Kathmandu"
362,"VOMF","Chennai"
363,"VOMX","Chennai Oceanic"
364,"VRMF","Male"
365,"VTBB","Bangkok"
366,"VVGL","Hanoi"
367,"VVTS","Ho-Chi-Minh"
368,"VYYF","Rangoon"
369,"WAAF","Ujung Pandang"
370,"WABZ","Biak"
371,"WBFC","Kota Kinabalu"
372,"WIIF","Jakarta"
373,"WMFC","Kuala Lumpur"
374,"WRRZ","Bali"
375,"WSJC","Singapore"
376,"YBBB","Brisbane"
377,"YMMM","Melbourne"
378,"YTSN","Brisbane Oceanic-Tasman"
379,"YIND","Melbourne Oceanic-Indian"
380,"YBIK","Melbourne (Bindook)"
381,"YSNO","Melbourne (Snowy)"
382,"YTAS","Melbourne (Tasmania)"
383,"YCAN","Melbourne (Canty)"
384,"YNUL","Melbourne (Nulabor)"
385,"YKLG","Melbourne (Kalgoorlie)"
386,"YPIL","Melbourne (Pilbara)"
387,"YARL","Brisbane (Armidale)"
388,"YDOS","Brisbane (Downs)"
389,"YKPL","Brisbane (Keppel)"
390,"YDAT","Brisbane (Daintree)"
391,"YTRT","Brisbane (Territory)"
392,"YSN1","Melbourne Arrivals"
393,"YSB1","Sydney Arrivals"
394,"YDO1","Brisbane Arrivals"
395,"ZBPE","Beijing"
396,"ZGZU","Guangzhou"
397,"ZHWH","Wuhan"
398,"ZKKP","Pyongyang"
399,"ZLHW","Lanzhou"
400,"ZMBZ","Ulaan Baatar"
401,"ZPKM","Kunming"
402,"ZSHA","Shanghai"
403,"ZWUQ","Urumqi"
404,"ZYSH","Shenyang"
