id,"airport_id","ident_a","ident_b",length,width,threshold_a,threshold_b,heading_a,heading_b,lat_a,lon_a,lat_b,lon_b
38576,"YPKE","04","22",3608,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38577,"YPKG","11","29",6562,148,NULL,NULL,110,290,-30.788300,121.455000,-30.794600,121.474000
38578,"YPKG","18","36",3936,59,NULL,NULL,185,5,-30.781400,121.462000,-30.792200,121.461000
38579,"YPKH","18","36",2296,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38580,"YPKI","03","21",2755,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38581,"YPKI","14","32",1804,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38582,"YPKL","03","21",2624,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38583,"YPKS","04","22",5525,148,NULL,NULL,55,235,-33.137200,148.231000,-33.128500,148.245000
38584,"YPKS","11","29",5322,98,NULL,568,124,304,-33.124800,148.230000,-33.133200,148.245000
38585,"YPKT","16","34",4626,59,NULL,NULL,161,341,-14.243500,129.528000,-14.255600,129.532000
38586,"YPKU","12","30",6000,98,NULL,NULL,119,299,-15.773800,128.702000,-15.782000,128.717000
38587,"YPLC","01","19",4918,98,NULL,NULL,17,197,-34.612600,135.877000,-34.599700,135.881000
38588,"YPLC","05","23",4183,98,NULL,NULL,58,238,-34.607400,135.875000,-34.601200,135.887000
38589,"YPLC","15","33",4757,98,NULL,NULL,154,334,-34.599100,135.875000,-34.610800,135.882000
38590,"YPLG","17","35",3412,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38591,"YPLI","09","27",2998,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38592,"YPLL","08","26",5249,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38593,"YPLM","18","36",9997,148,NULL,NULL,184,4,-22.220000,114.091000,-22.247400,114.089000
38594,"YPLU","07","25",4921,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38595,"YPMB","09","27",2624,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38596,"YPMB","15","33",3608,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38597,"YPME","11","29",3280,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38598,"YPMP","14","32",4462,98,NULL,NULL,151,331,-14.891000,141.606000,-14.901800,141.612000
38599,"YPMQ","03","21",5203,98,NULL,NULL,30,210,-31.441300,152.858000,-31.428900,152.867000
38600,"YPMQ","10","28",2283,60,NULL,NULL,114,294,-31.432600,152.866000,-31.435200,152.873000
38601,"YPNC","12","30",3182,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38602,"YPNG","05","23",3280,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38603,"YPNG","12","30",3280,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38604,"YPNI","18","36",5249,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38605,"YPNN","18","36",4396,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38606,"YPNW","11","29",4484,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38607,"YPOD","08","26",5302,98,NULL,NULL,87,267,-38.319500,141.463000,-38.318800,141.481000
38608,"YPOD","17","35",3871,98,NULL,NULL,177,357,-38.313700,141.466000,-38.324300,141.467000
38609,"YPOK","18","36",2755,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38610,"YPPD","14","32",8202,148,NULL,NULL,138,318,-20.374100,118.622000,-20.390700,118.638000
38611,"YPPD","18","36",3281,59,NULL,NULL,183,3,-20.370300,118.629000,-20.379300,118.629000
38612,"YPPF","03L","21R",4429,59,NULL,NULL,28,208,-34.803800,138.631000,-34.793100,138.638000
38613,"YPPF","03R","21L",4196,98,NULL,NULL,28,208,-34.802200,138.634000,-34.792000,138.641000
38614,"YPPF","08L","26R",3143,59,NULL,NULL,85,265,-34.793500,138.625000,-34.792800,138.635000
38615,"YPPF","08R","26L",3255,59,NULL,NULL,85,265,-34.795600,138.623000,-34.794800,138.634000
38616,"YPPH","03","21",11299,148,NULL,NULL,14,194,-31.958700,115.960000,-31.928600,115.968000
38617,"YPPH","06","24",7096,148,NULL,NULL,59,239,-31.941000,115.959000,-31.930900,115.979000
38618,"YPRA","04","22",1968,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38619,"YPRA","09","27",2952,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38620,"YPRE","18","36",2788,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38621,"YPSH","04","22",2985,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38622,"YPTB","18","36",3805,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38623,"YPTJ","15","33",5905,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38624,"YPTN","14","32",9003,150,NULL,NULL,139,319,-14.512200,132.369000,-14.530900,132.386000
38625,"YPUA","18","36",4560,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38626,"YPUN","14","32",4593,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38627,"YPVD","11","29",3116,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38628,"YPWH","03","21",2493,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
