id,"airport_id","ident_a","ident_b",length,width,threshold_a,threshold_b,heading_a,heading_b,lat_a,lon_a,lat_b,lon_b
1,"00A","H1","",80,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,"00AK","N","S",2500,70,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,"00AL","01","19",2300,200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,"00AR","H1","H1",40,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,"00AZ","15","33",1700,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,"00CA","04","22",6000,80,NULL,NULL,50,NULL,35.349300,-116.893000,35.360300,-116.878000
7,"00CO","16","34",3900,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,"00FA","08","26",3200,100,NULL,800,NULL,NULL,NULL,NULL,NULL,NULL
9,"00FD","H1","",74,74,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,"00FL","12","30",4090,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,"00GA","09","27",2600,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,"00GE","H1","",125,95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,"00HI","H1","",1155,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
14,"00ID","08","26",3300,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
15,"00ID","11","29",2700,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
16,"00IL","18","36",2500,75,290,350,NULL,NULL,NULL,NULL,NULL,NULL
17,"00IN","H1","",40,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18,"00IS","E","W",1600,70,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
19,"00KS","17","35",2600,85,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20,"00KY","01","19",2100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21,"00LA","H1","",40,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22,"00LL","H1","",25,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23,"00LS","18","36",2600,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
24,"00MD","14","32",1700,75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25,"00MI","H1","",100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
26,"00MN","06","24",2949,200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
27,"00MO","08","26",2400,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28,"00MT","E","W",2000,75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
29,"00N","18","36",1900,150,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30,"00NC","05","23",2650,36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
31,"00NJ","H1","",50,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
32,"00NY","03","21",2350,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
33,"00OH","08","26",2695,90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
34,"00OI","H1","",42,42,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35,"00PA","H1","",80,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
36,"00PN","12","30",500,75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
37,"00PS","08","26",3100,100,1335,1072,NULL,NULL,NULL,NULL,NULL,NULL
38,"00S","06","24",2600,90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
39,"00SC","08","26",2900,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40,"00TA","H1","",85,85,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
41,"00TE","H1","",48,48,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
42,"00TN","09","27",1800,150,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
43,"00TS","01","19",1200,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
44,"00TX","H1","",50,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45,"00VA","01","19",1300,100,NULL,NULL,NULL,270,NULL,NULL,NULL,NULL
46,"00VI","09","27",1500,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47,"00W","14","32",3400,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
48,"00WA","08","26",1105,70,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
49,"00WI","09","27",1000,60,NULL,200,87,NULL,44.304200,-89.052000,44.304400,-89.048200
50,"00WN","05","23",1440,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
51,"00WV","05","23",1800,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
52,"00XS","17","35",1475,75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
53,"01A","08","26",1175,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
54,"01AK","H1","",40,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
55,"01AL","N","S",2500,160,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
56,"01AR","H1","",55,55,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
57,"01AZ","H1","",210,150,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
58,"01C","09","27",2517,120,387,580,NULL,NULL,43.341700,-85.779900,43.341700,-85.770300
59,"01CA","H1","",20,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
60,"01CL","09","27",3100,50,500,NULL,NULL,NULL,NULL,NULL,NULL,NULL
61,"01CN","H1","",60,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
62,"01CO","H1","",125,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
63,"01CT","H1","",70,70,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
64,"01FA","10","28",2000,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
65,"01FA","18","36",1500,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
66,"01FD","H1","",110,110,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
67,"01FL","18","36",3000,50,NULL,800,NULL,NULL,NULL,NULL,NULL,NULL
68,"01GA","H1","",65,65,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
69,"01GE","10","28",2560,75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
70,"01IA","17","35",2575,50,275,NULL,NULL,NULL,NULL,NULL,NULL,NULL
71,"01ID","14","32",2894,100,NULL,NULL,NULL,NULL,42.611000,-112.035000,42.603700,-112.031000
72,"01IL","H1","",416,216,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
73,"01IN","H1","",45,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
74,"01IS","09","27",1300,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
75,"01J","18","36",3365,125,795,370,NULL,NULL,30.690900,-81.906400,30.681700,-81.905000
76,"01K","17","35",2460,110,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
77,"01KS","18","36",2400,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
78,"01KY","H1","",40,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
79,"01LA","09","27",2000,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80,"01LL","02","20",1600,70,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
81,"01LS","09","27",1800,150,NULL,NULL,92,NULL,30.722700,-91.080200,30.722500,-91.074500
82,"01MA","H1","",32,32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
83,"01MD","16","34",3500,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84,"01ME","02","20",5000,500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
85,"01ME","15","33",5000,500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
86,"01MI","H1","",50,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
87,"01MN","E","W",10000,600,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
88,"01MN","NW","SE",10000,600,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
89,"01MO","H1","",37,37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
90,"01MT","13","31",5000,70,NULL,150,148,NULL,48.795000,-114.886000,48.783300,-114.875000
91,"01NC","03","21",3200,75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
92,"01NC","18","36",2000,75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
93,"01NE","10","28",2750,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
94,"01NH","17","35",600,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
95,"01NJ","H1","",125,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
96,"01NM","02","20",2700,70,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
97,"01NM","9","27",200,70,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
98,"01NV","18","36",2000,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
99,"01NY","H1","",100,75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100,"01OI","H1","",30,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
101,"01OK","17","35",2640,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
102,"01OR","07","25",4800,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
103,"01PA","H1","",60,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
104,"01PN","06","24",1700,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
105,"01PS","03","21",1200,120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
106,"01SC","18","36",2580,118,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
107,"01TA","H1","",30,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
108,"01TE","04","22",2433,55,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
109,"01TN","18","36",2700,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
110,"01TX","09","27",500,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
111,"01TX","18","36",700,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
112,"01U","03","21",2700,75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
113,"01U","15","33",3400,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
114,"01UT","E","W",3200,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
115,"01VA","03","21",1500,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
116,"01WA","H1","",36,36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
117,"01WI","01","19",2300,120,NULL,NULL,10,NULL,44.005600,-90.390500,44.011800,-90.389200
118,"01WN","H1","",40,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
119,"01WT","H1","",28,28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
120,"01WY","12","30",4360,75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
121,"01WY","16","34",2600,65,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
122,"01XA","H1","H1",50,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
123,"01XS","H1","",50,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
124,"02AK","15","33",2200,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
125,"02AL","18","36",2000,150,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
126,"02AR","07","25",4400,45,600,600,NULL,NULL,NULL,NULL,NULL,NULL
127,"02AZ","17","35",4500,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
128,"02CA","H1","",55,55,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
129,"02CD","15","33",2500,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
130,"02CL","16","34",3000,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
131,"02CO","17","35",2670,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
132,"02CT","H1","",50,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
133,"02FA","18","36",2485,150,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
134,"02FL","12","30",1800,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
135,"02GA","08","26",1200,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
136,"02GA","13","31",1500,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
137,"02GE","09","27",3400,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
138,"02HI","H1","",100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
139,"02IA","H1","",50,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
140,"02ID","NE","SW",2000,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
141,"02II","10","28",1100,100,200,NULL,NULL,NULL,NULL,NULL,NULL,NULL
142,"02IN","09","27",1020,150,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
143,"02IS","H1","",40,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
144,"02KS","11","29",1650,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
145,"02KS","18","36",1950,150,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
146,"02KY","H1","",100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
147,"02LA","H1","",20,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
148,"02LS","H1","",24,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
149,"02MA","H1","",50,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
150,"02ME","14","32",2400,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
151,"02MI","09","27",2000,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
152,"02MN","03","21",1897,192,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
153,"02MN","12","30",2500,192,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
154,"02MN","13","31",2553,82,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
155,"02MO","08","26",2200,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
156,"02MS","12","30",2150,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
157,"02MU","N","S",1900,125,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
158,"02NC","H1","",100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
159,"02NH","18W","36W",3000,300,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
160,"02NH","H1","",20,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
161,"02NV","09","27",2200,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
162,"02NY","H1","",25,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
163,"02OH","09","27",2750,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
164,"02OI","E","W",1500,75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
165,"02OR","E","W",2000,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
166,"02P","H1","",100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
167,"02PA","H1","",60,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
168,"02PN","H1","",40,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
169,"02PR","06","24",2000,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
170,"02PS","01","19",500,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
171,"02SC","04","22",3600,150,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
172,"02T","02","20",4050,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
173,"02TA","H1","",32,32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
174,"02TE","H1","",40,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
175,"02TN","11","29",1600,120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
176,"02TX","17","35",4800,80,NULL,240,NULL,NULL,NULL,NULL,NULL,NULL
177,"02UT","07","25",4000,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
178,"02UT","16","34",4000,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
179,"02VA","18","36",3000,80,NULL,500,NULL,NULL,NULL,NULL,NULL,NULL
180,"02WA","16","34",2650,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
181,"02WI","18","36",2200,60,800,NULL,NULL,NULL,NULL,NULL,NULL,NULL
182,"02WN","13","31",1500,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
183,"02XS","02","20",1500,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
184,"02XS","11","29",1320,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
185,"03AK","07","25",1000,70,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
186,"03AK","N","S",6000,500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
187,"03AK","NE","SW",2600,500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
188,"03AL","H1","",50,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
189,"03AR","H1","",117,117,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
190,"03AZ","E","W",3600,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
191,"03CA","H1","",40,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
192,"03CO","13","31",4000,30,NULL,NULL,140,NULL,40.216700,-104.749000,40.208300,-104.740000
193,"03FA","E","W",2000,200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
194,"03FD","09","27",2000,50,200,1070,NULL,NULL,NULL,NULL,NULL,NULL
195,"03FL","H1","",50,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
196,"03I","13","31",2375,90,NULL,NULL,58,238,NULL,NULL,NULL,NULL
197,"03ID","11","29",1800,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
198,"03II","N","S",1000,200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
199,"03IL","18","36",2600,105,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
200,"03IS","H1","",40,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
201,"03KS","H1","",25,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
202,"03KY","03","21",2300,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
203,"03LA","H1","",60,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
204,"03LS","H1","",40,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
205,"03M","02","20",3800,200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
206,"03MA","12","30",1600,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
207,"03MD","H1","",50,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
208,"03ME","18","36",2400,90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
209,"03MI","H1","",20,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
210,"03MN","17","35",1940,75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
211,"03MO","15","33",2200,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
212,"03MS","H1","",60,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
213,"03MU","17","35",2400,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
214,"03N","07","25",2400,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
215,"03NC","09","27",2750,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
216,"03ND","17","35",2600,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
217,"03NE","01","19",2200,200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
218,"03NH","H1","",12,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
219,"03NV","18","36",3200,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
220,"03NY","16","34",2000,75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
221,"03OH","N","S",2100,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
222,"03OH","NE","SW",2200,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
223,"03OI","H1","",60,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
224,"03OK","18","36",1200,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
225,"03OR","07","25",2950,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
226,"03PA","H1","",130,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
227,"03PN","H1","",100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
228,"03PS","14","32",675,90,NULL,150,NULL,NULL,NULL,NULL,NULL,NULL
229,"03PS","16","34",925,90,NULL,150,NULL,NULL,NULL,NULL,NULL,NULL
230,"03PS","18","36",1130,90,NULL,300,NULL,NULL,NULL,NULL,NULL,NULL
231,"03S","08","26",2115,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
232,"03SC","H1","",40,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
233,"03TE","12","30",3500,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
234,"03TN","H1","",20,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
235,"03TS","H1","",90,90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
236,"03TX","H1","",150,150,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
237,"03UT","NE","SW",5000,35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
238,"03UT","NW","SE",3250,35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
239,"03WA","18","36",2800,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
240,"03WI","N","S",1500,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
241,"03WN","07","25",2000,70,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
242,"03XS","04","22",3200,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
243,"03XS","15","33",1600,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
244,"04AL","H1","",100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
245,"04AR","H1","",40,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
246,"04CA","08","26",5000,150,NULL,NULL,91,NULL,34.564000,-117.683000,34.563700,-117.667000
247,"04CL","08","26",1900,100,NULL,600,NULL,NULL,NULL,NULL,NULL,NULL
248,"04CT","H1","",50,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
249,"04FA","09","27",2620,212,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
250,"04FL","09","27",3000,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
251,"04I","06","24",2382,120,NULL,NULL,NULL,NULL,39.909200,-83.192800,39.913100,-83.184700
252,"04IA","18","36",2310,84,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
253,"04ID","07","25",3000,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
254,"04II","18","36",1372,72,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
255,"04IL","N","S",1700,70,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
256,"04IN","13W","31W",4000,1000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
257,"04IS","09","27",2200,150,400,NULL,NULL,NULL,NULL,NULL,NULL,NULL
258,"04KS","H1","",400,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
259,"04KY","15","33",1700,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
260,"04LA","H1","",40,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
261,"04LL","09","27",3700,70,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
262,"04LS","H1","",60,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
263,"04MA","16","34",2100,300,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
264,"04MD","H1","",50,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
265,"04ME","15","33",1950,120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
266,"04MI","18","36",2000,100,450,225,NULL,NULL,NULL,NULL,NULL,NULL
267,"04MN","10","28",2500,150,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
268,"04MO","18","36",2600,150,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
269,"04MS","17","35",3400,100,NULL,NULL,180,NULL,32.944200,-90.837300,32.934900,-90.837300
270,"04MT","E","W",2100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
271,"04MT","N","S",1900,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
272,"04NC","H1","",91,35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
273,"04NE","N","S",2500,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
274,"04NJ","08","26",3500,50,600,300,NULL,NULL,NULL,NULL,NULL,NULL
275,"04NV","02","20",3240,45,NULL,NULL,34,NULL,35.751800,-115.668000,35.759200,-115.662000
276,"04NY","02","20",5200,50,NULL,1700,NULL,NULL,NULL,NULL,NULL,NULL
277,"04OG","H1","",50,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
278,"04OH","N","S",2200,70,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
279,"04OK","H1","",45,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
280,"04PA","H1","",100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
281,"04PN","H1","",70,70,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
282,"04SC","H1","",50,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
283,"04TA","H1","",60,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
284,"04TE","H1","",30,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
285,"04TN","01","19",3000,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
286,"04TS","H1","",20,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
287,"04TX","12","30",2000,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
288,"04UT","04","22",3700,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
289,"04V","10","28",7745,55,NULL,NULL,118,298,38.104100,-106.186000,38.094100,-106.163000
290,"04VA","H1","",50,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
291,"04VG","01","19",3500,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
292,"04VG","11","29",1800,70,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
